question,nombre de réponses,Réponse 1,Réponse 2,Réponse 3,Numéro de la bonne réponse
Que signifie l'acronyme "ip" ?,3,Internet Protocol,Internal Pathway,Instant Programming,1
Que signifie l'acronyme "CPU" ?,3,Central Power Unit,Computer Processing Utility ,Central Processing Unit,3
Sur Scratch quelle catégorie de blocs permet de faire répéter une action plusieurs fois ?,3,Mouvement,Contrôle,Evenement,2
Sur Scratch quelle catégorie de blocs permet de faire des calculs ?,3,Opérateur,Contrôle,Variable,1
Quel langage informatique permet de modifier le style d'un site web ?,3,html,java,css,3
Quelle est la traduction française de "Software" ?,3,Logiciel,Application,Serveur,1
Vrai ou faux Le logo de scratch est un chat ?,2,vrai,faux,1
Un SSD est plus rapide qu'un disque dur traditionnel ?,2vrai,faux,1
Quel est le système d'exploitation le plus utilisé ?,3,Windows,iOS,Android,3
Un algorithme est une série d'instructions pour résoudre un problème ?,2,Vrai,Faux,1
